date_str,station_id,satellite_id,azimuth,elevation
20170801,nist,G15,-39.4672958,8.812569034
20170801,nist,G15,-93.42858942,7.425534374
20170801,nist,G15,168.3013976,5.108070868
20170801,nist,G16,-88.51667257,6.293214088
20170801,nist,G16,51.14783828,10.86094165
20170801,nist,G16,51.75051166,9.597093728
20170801,nist,G16,52.10508136,8.881195536
20170801,nist,G16,52.19485726,8.702934626
20170801,nist,G16,52.37575303,8.347267341
20170801,nist,G16,52.74285733,7.639343022
20170801,nist,G16,52.9290305,7.287081219
20170801,nist,G16,53.11692796,6.935949624
20170801,nist,G16,53.49782833,6.237066323
20170801,nist,G16,53.88542652,5.542670623
20170801,nist,G16,53.98335755,5.369770097
20170801,nist,G16,-35.32781871,9.455962761
20170801,nist,G18,120.4822602,16.06767204
20170801,nist,G18,120.9997488,15.33419106
20170801,nist,G18,121.3830816,14.78371198
20170801,nist,G18,121.5099494,14.60015262
20170801,nist,G18,123.7160412,11.29131372
20170801,nist,G18,124.1863814,10.55503096
20170801,nist,G18,124.5343937,10.00264661
20170801,nist,G18,125.1053804,9.081735289
20170801,nist,G18,125.4425509,8.529057643
20170801,nist,G18,125.775653,7.976305542
20170801,nist,G18,126.321775,7.054939216
20170801,nist,G18,126.6440134,6.502083309
20170801,nist,G18,127.3800207,5.212106508
20170801,nist,G18,-131.8372509,16.98188159
20170801,nist,G18,-131.7300066,17.1754778
20170801,nist,G19,-148.9425613,13.03317981
20170801,nist,G19,103.2053473,10.31241706
20170801,nist,G19,103.5205928,10.00510883
20170801,nist,G19,104.3039062,9.236851263
20170801,nist,G19,105.0803127,8.468574891
20170801,nist,G19,105.2347597,8.314913368
20170801,nist,G19,105.3889272,8.161248937
20170801,nist,G19,105.8497488,7.700234759
20170801,nist,G19,108.1155665,5.39441371
20170801,nist,G20,87.34134677,8.824957376
20170801,nist,G20,87.77765472,8.364683796
20170801,nist,G20,88.21343502,7.905303255
20170801,nist,G20,88.35857349,7.752371109
20170801,nist,G20,88.50364956,7.59953498
20170801,nist,G20,89.66189857,6.380207221
20170801,nist,G20,90.09509767,5.924447879
20170801,nist,G20,90.52763242,5.469467693
20170801,nist,G20,90.67165855,5.317977169
20170801,nist,G20,-161.5234957,5.157004519
20170801,nist,G20,-161.5387945,5.549331292
20170801,nist,G20,-161.5523562,5.942866662
20170801,nist,G20,-161.5921111,7.728595657
20170801,nist,G20,-161.5961297,9.740766758
20170801,nist,G20,-161.5825781,10.7577328
20170801,nist,G21,156.5641974,19.60415432
20170801,nist,G21,156.6757079,18.93487206
20170801,nist,G21,156.7476776,18.48962384
20170801,nist,G21,156.7829515,18.26728505
20170801,nist,G21,157.0166032,16.71634183
20170801,nist,G21,157.16928,15.61448257
20170801,nist,G21,157.2828809,14.73667265
20170801,nist,G21,157.3630913,14.08050497
20170801,nist,G21,157.5106486,12.77392342
20170801,nist,G21,157.5994617,11.90722148
20170801,nist,G21,157.6610347,11.25952716
20170801,nist,G21,157.699678,10.82885696
20170801,nist,G21,157.7540243,10.1845612
20170801,nist,G21,157.8349143,9.115362044
20170801,nist,G21,157.8776089,8.476663794
20170801,nist,G21,157.9963468,6.153371258
20170801,nist,G21,158.0041719,5.943642941
20170801,nist,G21,158.024653,5.315968822
20170801,nist,G21,158.035803,4.89878872
20170801,nist,G22,-52.20846819,47.13230607
20170801,nist,G22,-173.8931772,22.10723479
20170801,nist,G22,-179.7428948,4.923619463
20170801,nist,G22,66.16827914,5.168128571
20170801,nist,G22,50.07634164,7.054049884
20170801,nist,G22,45.18482142,6.475578191
20170801,nist,G22,45.00033417,6.441834
20170801,nist,G22,44.63230156,6.37180925
20170801,nist,G22,41.55937568,5.641298127
20170801,nist,G23,-83.84301628,10.20464195
20170801,nist,G24,132.8759181,5.420034609
20170801,nist,G24,131.3364074,6.888231459
20170801,nist,G24,130.2483569,7.926457558
20170801,nist,G24,128.8341397,9.271603299
20170801,nist,G24,126.7547076,11.22934216
20170801,nist,G24,126.5927041,11.3804282
20170801,nist,G24,126.2677427,11.6827387
20170801,nist,G24,125.9414764,11.9852029
20170801,nist,G24,41.35610638,14.6466375
20170801,nist,G24,40.67866982,13.27273597
20170801,nist,G24,38.80213805,8.354719128
20170801,nist,G24,37.97189668,5.133570294
20170801,nist,G24,-40.9910328,8.433001952
20170801,nist,G24,-41.11570857,9.36875679
20170801,nist,G24,-41.50311726,11.61094679
20170801,nist,G25,32.1484575,5.563740357
20170801,nist,G25,31.93766231,5.250037687
20170801,nist,G25,-47.98101927,5.423494567
20170801,nist,G25,-47.25392567,7.682549878
20170801,nist,G25,-47.03034969,8.442898286
20170801,nist,G25,-46.86903255,9.015526578
20170801,nist,G25,-46.66259327,9.782153136
20170801,nist,G25,-46.37190458,10.93868889
20170801,nist,G25,-46.19108511,11.71403551
20170801,nist,G25,-46.06244782,12.29777515
20170801,nist,G25,-45.9004313,13.07901859
20170801,nist,G25,-45.78618326,13.66710824
20170801,nist,G25,-45.64375096,14.45404753
20170801,nist,G25,-45.54450134,15.04632568
20170801,nist,G25,-155.0480062,15.40682809
20170801,nist,G25,-158.5899901,9.040147712
20170801,nist,G25,-159.0060981,8.316777721
20170801,nist,G25,-160.1556374,6.357915752
20170801,nist,G25,-160.2606484,6.182106183
20170801,nist,G25,-160.3657605,6.00668242
20170801,nist,G25,-160.4709774,5.831646214
20170801,nist,G26,-95.49557334,11.41453
20170801,nist,G26,-96.0651754,11.07181074
20170801,nist,G26,-98.30896449,9.668368981
20170801,nist,G26,49.37868318,5.141271671
20170801,nist,G27,-124.0783775,15.75998876
20170801,nist,G27,-125.8384595,13.99883646
20170801,nist,G27,-127.398798,12.39904216
20170801,nist,G27,-128.3192011,11.44172473
20170801,nist,G27,-129.078173,10.64626103
20170801,nist,G27,-129.2291534,10.48746931
20170801,nist,G27,-129.6805587,10.01176926
20170801,nist,G27,-129.8305318,9.853440931
20170801,nist,G27,138.1849027,6.449394331
20170801,nist,G27,137.8968873,6.769808064
20170801,nist,G27,137.4639123,7.252296315
20170801,nist,G27,137.1745731,7.575161117
20170801,nist,G27,136.1569406,8.712353457
20170801,nist,G27,128.1918561,17.38911768
20170801,nist,G27,38.89222477,10.82459721
20170801,nist,G27,38.85590074,10.63721844
20170801,nist,G28,129.9244936,7.436213964
20170801,nist,G28,130.8474318,5.940013561
20170801,nist,G29,170.250355,4.751044434
20170801,nist,G29,-76.91241908,7.332287336
20170801,nist,G30,161.2964474,5.561909097
20170801,nist,G31,69.74403349,6.707539041
20170801,nist,G31,71.22987505,5.03716068
20170801,nist,G31,-50.59336049,5.16734607
20170801,nist,G32,100.2523809,10.27207356
20170801,nist,G32,101.0235903,9.491225608
20170801,nist,G32,101.3304473,9.1789169
20170801,nist,G32,101.4835246,9.022767536
20170801,nist,G32,101.7889737,8.710476904
20170801,nist,G32,102.0934777,8.398194594
20170801,nist,G32,102.6996297,7.773643311
20170801,nist,G32,104.4948496,5.899896493
20170801,nist,G32,104.9381109,5.431391131
20170802,nist,G01,-38.84586522,6.526613825
20170802,nist,G01,-38.88194826,6.906756199
20170802,nist,G01,-38.92135285,7.286901686
20170802,nist,G01,-38.96411073,7.667028647
20170802,nist,G01,-38.9867572,7.857078277
20170802,nist,G01,-39.03460561,8.237135743
20170802,nist,G01,-134.6503894,10.49781085
20170802,nist,G01,-136.2163211,8.731966653
20170802,nist,G01,-136.639693,8.25446174
20170802,nist,G01,131.5728356,8.534410559
20170802,nist,G01,130.8057544,9.322389673
20170802,nist,G02,98.92113682,6.94914325
20170802,nist,G02,99.22092812,6.635682004
20170802,nist,G03,-54.4227333,7.282270328
20170802,nist,G03,-53.99056118,8.170271171
20170802,nist,G03,-53.4867432,9.244096695
20170802,nist,G03,-52.68422572,11.05379281
20170802,nist,G03,-170.3464559,4.861519067
20170802,nist,G03,87.70436266,6.322322227
20170802,nist,G03,86.94898009,6.740001098
20170802,nist,G05,62.62879999,5.106124328
20170802,nist,G05,-49.00661784,9.125556858
20170802,nist,G05,-53.62529415,9.382366079
20170802,nist,G05,-54.03072664,9.381527694
20170802,nist,G05,-55.04600005,9.363383405
20170802,nist,G05,-71.34023581,6.126503855
20170802,nist,G06,-43.2342332,5.809176637
20170802,nist,G06,-43.42977207,5.825100487
20170802,nist,G06,-43.82145183,5.854204169
20170802,nist,G06,-44.21390031,5.879650036
20170802,nist,G06,-44.60707672,5.901439918
20170802,nist,G06,-45.59293487,5.939939708
20170802,nist,G06,-46.78073872,5.956099595
20170802,nist,G06,-46.97914154,5.955617826
20170802,nist,G06,-47.17765539,5.954231456
20170802,nist,G06,-48.37079102,5.926981247
20170802,nist,G06,-52.36197309,5.605328412
20170802,nist,G06,-52.76132104,5.554023821
20170802,nist,G06,-55.5520726,5.100716535
20170802,nist,G06,-177.5783998,8.421315558
20170802,nist,G08,-100.2976381,13.12062072
